id,slices,IA_voxels,IA_minz,IA_size,subset
ExtB0001,785,1021,541,10,test
ExtB0002,679,114,435,4,test
ExtB0003,709,742,513,9,test
ExtB0004,695,827,479,9,test
ExtB0005,770,0,-1,0,test
ExtB0006,818,462,584,7,test
ExtB0007,787,0,-1,0,test
ExtB0008,796,4098,542,16,test
ExtB0009,816,0,-1,0,test
ExtB0010,913,2162,699,12,test
ExtB0011,851,1668,638,11,test
ExtB0012,907,842,650,9,test
ExtB0013,465,209,240,5,test
ExtB0014,770,0,-1,0,test
ExtB0015,805,2862,541,14,test
ExtB0016,718,1212,461,10,test
ExtB0017,836,197,701,5,test
ExtB0018,672,1820,421,12,test
ExtB0019,1140,0,-1,0,test
ExtB0020,785,2163,567,12,test
ExtB0021,728,47757,449,36,test
ExtB0022,538,751,317,9,test
ExtB0023,750,421,527,7,test
ExtB0024,810,0,-1,0,test
ExtB0025,756,460,494,7,test
ExtB0026,715,3264,487,14,test
ExtB0027,711,785,466,9,test
ExtB0028,809,412,582,7,test
ExtB0029,770,0,-1,0,test
ExtB0030,750,0,-1,0,test
ExtB0031,696,294,465,6,test
ExtB0032,746,1381,485,11,test
ExtB0033,615,992,355,9,test
ExtB0034,810,0,-1,0,test
ExtB0035,792,2878,535,14,test
ExtB0036,731,402,494,7,test
ExtB0037,878,727,637,8,test
ExtB0038,492,380,265,7,test
ExtB0039,770,0,-1,0,test
ExtB0040,799,4307,589,16,test
ExtB0041,387,1826,133,12,test
ExtB0042,377,445,123,7,test
ExtB0043,660,740,430,9,test
ExtB0044,1209,0,-1,0,test
ExtB0045,766,546,501,8,test
ExtB0046,770,0,-1,0,test
ExtB0047,770,0,-1,0,test
ExtB0048,770,0,-1,0,test
ExtB0049,789,0,-1,0,test
ExtB0050,799,1646,572,11,test
ExtB0051,736,0,-1,0,test
ExtB0052,790,0,-1,0,test
ExtB0053,824,0,-1,0,test
ExtB0054,819,0,-1,0,test
ExtB0055,744,640,524,8,test
ExtB0056,708,568,460,8,test
ExtB0057,748,332,546,6,test
ExtB0058,511,1315,265,10,test
ExtB0059,410,2267,174,13,test
ExtB0060,843,1275,574,10,test
ExtB0061,368,3351,147,14,test
ExtB0062,524,522,293,8,test
ExtB0063,398,97,183,4,test
ExtB0064,670,1746,463,12,test
ExtB0065,815,0,-1,0,test
ExtB0066,1117,0,-1,0,test
ExtB0067,1044,0,-1,0,test
